Episode 1/2000 | Reward: 10.16 | Max X: 273.0
Episode 2/2000 | Reward: 10.18 | Max X: 273.0
Episode 3/2000 | Reward: 11.12 | Max X: 273.0
Episode 4/2000 | Reward: 11.08 | Max X: 272.0
Episode 5/2000 | Reward: 10.22 | Max X: 274.0
Episode 6/2000 | Reward: 10.16 | Max X: 273.0
Episode 7/2000 | Reward: 6.38 | Max X: 318.0
Episode 8/2000 | Reward: 6.90 | Max X: 345.0
Episode 9/2000 | Reward: 7.12 | Max X: 356.0
Episode 10/2000 | Reward: 8.68 | Max X: 434.0
Episode 11/2000 | Reward: 16.10 | Max X: 803.0
Episode 12/2000 | Reward: 12.52 | Max X: 624.0
Episode 13/2000 | Reward: 27.18 | Max X: 1151.0
Episode 14/2000 | Reward: 44.72 | Max X: 2116.0
Episode 15/2000 | Reward: 27.56 | Max X: 1133.0
Episode 16/2000 | Reward: 28.48 | Max X: 1184.0
Episode 17/2000 | Reward: 44.96 | Max X: 2116.0
Episode 18/2000 | Reward: 45.04 | Max X: 2116.0
Episode 19/2000 | Reward: 26.62 | Max X: 1123.0
Episode 20/2000 | Reward: 42.30 | Max X: 2115.0
Episode 21/2000 | Reward: 44.20 | Max X: 2115.0
Episode 22/2000 | Reward: 42.28 | Max X: 2114.0
Episode 23/2000 | Reward: 26.74 | Max X: 1125.0
Episode 24/2000 | Reward: 43.98 | Max X: 2116.0
Episode 25/2000 | Reward: 42.32 | Max X: 2116.0
Episode 26/2000 | Reward: 59.84 | Max X: 1065.0
Episode 27/2000 | Reward: 162.12 | Max X: 2563.0
Episode 28/2000 | Reward: 119.28 | Max X: 2116.0
Episode 29/2000 | Reward: 117.96 | Max X: 2116.0
Episode 30/2000 | Reward: 132.84 | Max X: 2115.0
Episode 31/2000 | Reward: 117.90 | Max X: 2116.0
Episode 32/2000 | Reward: 128.72 | Max X: 2114.0
Episode 33/2000 | Reward: 88.82 | Max X: 2114.0
Episode 34/2000 | Reward: 63.50 | Max X: 2116.0
Episode 35/2000 | Reward: 93.26 | Max X: 2116.0
Episode 36/2000 | Reward: 89.82 | Max X: 2545.0
Episode 37/2000 | Reward: 92.82 | Max X: 2116.0
Episode 38/2000 | Reward: 116.42 | Max X: 2115.0
Episode 39/2000 | Reward: 125.30 | Max X: 2116.0
Episode 40/2000 | Reward: 127.06 | Max X: 2116.0
Episode 41/2000 | Reward: 122.44 | Max X: 2114.0
Episode 42/2000 | Reward: 122.80 | Max X: 2115.0
Episode 43/2000 | Reward: 117.94 | Max X: 2116.0
Episode 44/2000 | Reward: 116.22 | Max X: 2116.0
Episode 45/2000 | Reward: 139.14 | Max X: 2116.0
Episode 46/2000 | Reward: 101.46 | Max X: 2116.0
Episode 47/2000 | Reward: 105.64 | Max X: 2116.0
Episode 48/2000 | Reward: 68.18 | Max X: 2116.0
Episode 49/2000 | Reward: 69.92 | Max X: 2114.0
Episode 50/2000 | Reward: 48.48 | Max X: 2115.0
Episode 51/2000 | Reward: 48.18 | Max X: 1057.0
Episode 52/2000 | Reward: 67.18 | Max X: 2109.0
Episode 53/2000 | Reward: 111.94 | Max X: 2102.0
Episode 54/2000 | Reward: 31.88 | Max X: 1179.0
Episode 55/2000 | Reward: 108.50 | Max X: 2114.0
Episode 56/2000 | Reward: 82.90 | Max X: 2194.0
Episode 57/2000 | Reward: 42.28 | Max X: 2114.0
Episode 58/2000 | Reward: 84.18 | Max X: 2103.0
Episode 59/2000 | Reward: 105.00 | Max X: 2116.0
Episode 60/2000 | Reward: 127.16 | Max X: 2115.0
Episode 61/2000 | Reward: 87.74 | Max X: 2116.0
Episode 62/2000 | Reward: 75.02 | Max X: 2105.0
Episode 63/2000 | Reward: 23.14 | Max X: 854.0
Episode 64/2000 | Reward: 101.74 | Max X: 2952.0
Episode 65/2000 | Reward: 36.76 | Max X: 1092.0
Episode 66/2000 | Reward: 60.54 | Max X: 2116.0
Episode 67/2000 | Reward: 16.34 | Max X: 540.0
Episode 68/2000 | Reward: 37.62 | Max X: 989.0
Episode 69/2000 | Reward: 20.12 | Max X: 1006.0
Episode 70/2000 | Reward: 32.74 | Max X: 1010.0
Episode 71/2000 | Reward: 20.36 | Max X: 829.0
Episode 72/2000 | Reward: 143.66 | Max X: 2534.0
Episode 73/2000 | Reward: 109.26 | Max X: 2107.0
Episode 74/2000 | Reward: 67.64 | Max X: 1174.0
Episode 75/2000 | Reward: 25.34 | Max X: 979.0
Episode 76/2000 | Reward: 79.66 | Max X: 2107.0
Episode 77/2000 | Reward: 66.50 | Max X: 2591.0
Episode 78/2000 | Reward: 41.82 | Max X: 1140.0
Episode 79/2000 | Reward: 61.36 | Max X: 2257.0
Episode 80/2000 | Reward: 55.10 | Max X: 1699.0
Episode 81/2000 | Reward: 61.94 | Max X: 2072.0
Episode 82/2000 | Reward: 75.48 | Max X: 2105.0
Episode 83/2000 | Reward: 117.94 | Max X: 2037.0
Episode 84/2000 | Reward: 33.94 | Max X: 1253.0
Episode 85/2000 | Reward: 89.04 | Max X: 2195.0
Episode 86/2000 | Reward: 75.14 | Max X: 2141.0
Episode 87/2000 | Reward: 28.66 | Max X: 1431.0
Episode 88/2000 | Reward: 65.54 | Max X: 2258.0
Episode 89/2000 | Reward: 50.82 | Max X: 2256.0
Episode 90/2000 | Reward: 64.32 | Max X: 2312.0
Episode 91/2000 | Reward: 70.66 | Max X: 2453.0
Episode 92/2000 | Reward: 128.12 | Max X: 2420.0
Episode 93/2000 | Reward: 17.10 | Max X: 855.0
Episode 94/2000 | Reward: 121.42 | Max X: 2116.0
Episode 95/2000 | Reward: 45.96 | Max X: 1320.0
Episode 96/2000 | Reward: 122.24 | Max X: 2117.0
Episode 97/2000 | Reward: 121.84 | Max X: 2274.0
Episode 98/2000 | Reward: 137.98 | Max X: 2115.0
Episode 99/2000 | Reward: 156.92 | Max X: 2057.0
Episode 100/2000 | Reward: 169.54 | Max X: 2057.0
Episode 101/2000 | Reward: 161.48 | Max X: 2058.0
Episode 102/2000 | Reward: 119.96 | Max X: 2115.0
Episode 103/2000 | Reward: 90.58 | Max X: 2059.0
Episode 104/2000 | Reward: 72.42 | Max X: 2061.0
Episode 105/2000 | Reward: 46.18 | Max X: 1585.0
Episode 106/2000 | Reward: 110.86 | Max X: 2057.0
Episode 107/2000 | Reward: 123.88 | Max X: 2057.0
Episode 108/2000 | Reward: 93.90 | Max X: 2058.0
Episode 109/2000 | Reward: 73.82 | Max X: 2056.0
Episode 110/2000 | Reward: 98.06 | Max X: 2056.0
Episode 111/2000 | Reward: 104.22 | Max X: 2287.0
Episode 112/2000 | Reward: 164.84 | Max X: 2102.0
Episode 113/2000 | Reward: 145.98 | Max X: 2066.0
Episode 114/2000 | Reward: 135.16 | Max X: 2055.0
Episode 115/2000 | Reward: 150.22 | Max X: 2066.0
Episode 116/2000 | Reward: 153.78 | Max X: 2056.0
Episode 117/2000 | Reward: 156.62 | Max X: 2115.0
Episode 118/2000 | Reward: 121.46 | Max X: 2057.0
Episode 119/2000 | Reward: 171.56 | Max X: 2071.0
Episode 120/2000 | Reward: 176.96 | Max X: 2558.0
Episode 121/2000 | Reward: 157.24 | Max X: 2057.0
Episode 122/2000 | Reward: 127.28 | Max X: 2056.0
Episode 123/2000 | Reward: 150.10 | Max X: 2058.0
Episode 124/2000 | Reward: 156.66 | Max X: 2114.0
Episode 125/2000 | Reward: 160.06 | Max X: 2060.0
Episode 126/2000 | Reward: 146.42 | Max X: 2059.0
