T,trajectories,best_r,best_x
100,0,0.0000,386
200,0,0.0000,510
300,0,0.0000,634
400,0,0.0000,756
500,0,0.0000,870
600,0,0.0000,975
700,0,0.0000,1090
800,0,0.0000,1209
900,0,0.0000,1306
1000,0,0.0000,1402
1100,0,0.0000,1526
1200,0,0.0000,1649
1300,0,0.0000,1773
1400,0,0.0000,1897
1500,0,0.0000,2021
1600,0,0.0000,2144
1700,0,0.0000,2268
1800,0,0.0000,2388
1900,0,0.0000,2516
2000,0,0.0000,2639
2100,0,0.0000,2763
2200,0,0.0000,2887
2300,0,0.0000,2946
2400,0,0.0000,3001
2500,0,0.0000,3133
2600,0,0.0000,3258
2700,0,0.0000,3352
2800,0,0.0000,3505
2900,0,0.0000,3629
3000,0,0.0000,3753
3100,0,0.0000,3876
3200,0,0.0000,3927
3300,0,0.0000,4439
3400,1,94.9000,4695
3500,1,94.9000,4695
3600,1,94.9000,4695
3700,1,94.9000,4695
3800,1,94.9000,4695
3900,1,94.9000,4695
4000,1,94.9000,4695
4100,1,94.9000,4695
4200,1,94.9000,4695
4300,1,94.9000,4695
4400,1,94.9000,4695
4500,1,94.9000,4695
4600,1,94.9000,4695
4700,1,94.9000,4695
4800,1,94.9000,4695
4900,1,94.9000,4695
5000,1,94.9000,4695
5100,1,94.9000,4695
5200,1,94.9000,4695
5300,1,94.9000,4695
5400,1,94.9000,4695
5500,1,94.9000,4695
5600,1,94.9000,4695
5700,1,94.9000,4695
5800,2,94.9000,4695
5900,2,94.9000,4695
6000,2,94.9000,4695
6100,2,94.9000,4695
6200,2,94.9000,4695
6300,2,94.9000,4695
6400,2,94.9000,4695
6500,2,94.9000,4695
6600,2,94.9000,4695
6700,2,94.9000,4695
6800,2,94.9000,4695
6900,2,94.9000,4695
7000,2,94.9000,4695
7100,2,94.9000,4695
7200,2,94.9000,4695
7300,2,94.9000,4695
7400,2,94.9000,4695
7500,2,94.9000,4695
7600,2,94.9000,4695
7700,2,94.9000,4695
7800,2,94.9000,4695
7900,2,94.9000,4695
8000,2,94.9000,4695
8100,2,94.9000,4695
8200,2,94.9000,4695
8300,2,94.9000,4695
8400,2,94.9000,4695
8500,2,94.9000,4695
8600,2,94.9000,4695
8700,2,94.9000,4695
8800,2,94.9000,4695
8900,2,94.9000,4695
9000,2,94.9000,4695
9100,2,94.9000,4695
9200,2,94.9000,4695
9300,2,94.9000,4695
9400,2,94.9000,4695
9500,2,94.9000,4695
9600,2,94.9000,4695
9700,2,94.9000,4695
9800,2,94.9000,4695
9900,2,94.9000,4695
10000,2,94.9000,4695
10100,2,94.9000,4695
10200,2,94.9000,4695
10300,2,94.9000,4695
10400,2,94.9000,4695
10500,2,94.9000,4695
10600,2,94.9000,4695
10700,2,94.9000,4695
10800,2,94.9000,4695
10900,2,94.9000,4695
11000,2,94.9000,4695
11100,2,94.9000,4695
11200,2,94.9000,4695
11300,2,94.9000,4695
11400,2,94.9000,4695
11500,2,94.9000,4695
11600,2,94.9000,4695
11700,2,94.9000,4695
11800,2,94.9000,4695
11900,2,94.9000,4695
12000,2,94.9000,4695
12100,2,94.9000,4695
12200,2,94.9000,4695
12300,2,94.9000,4695
12400,2,94.9000,4695
12500,2,94.9000,4695
12600,2,94.9000,4695
12700,2,94.9000,4695
12800,2,94.9000,4695
12900,2,94.9000,4695
13000,2,94.9000,4695
13100,2,94.9000,4695
13200,2,94.9000,4695
13300,2,94.9000,4695
13400,2,94.9000,4695
13500,2,94.9000,4695
13600,2,94.9000,4695
13700,2,94.9000,4695
13800,2,94.9000,4695
13900,2,94.9000,4695
14000,2,94.9000,4695
14100,2,94.9000,4695
14200,2,94.9000,4695
14300,2,94.9000,4695
14400,2,94.9000,4695
14500,2,94.9000,4695
14600,2,94.9000,4695
14700,2,94.9000,4695
14800,2,94.9000,4695
14900,2,94.9000,4695
15000,2,94.9000,4695
15100,2,94.9000,4695
15200,2,94.9000,4695
15300,2,94.9000,4695
15400,2,94.9000,4695
15500,2,94.9000,4695
15600,2,94.9000,4695
15700,2,94.9000,4695
15800,2,94.9000,4695
15900,2,94.9000,4695
16000,2,94.9000,4695
16100,2,94.9000,4695
16200,2,94.9000,4695
16300,2,94.9000,4695
16400,2,94.9000,4808
16500,2,94.9000,4858
16600,2,94.9000,5114
16700,3,113.4000,5370
16800,3,113.4000,5370
16900,3,113.4000,5370
17000,3,113.4000,5370
17100,3,113.4000,5370
17200,4,113.4000,5370
17300,4,113.4000,5370
17400,4,113.4000,5370
17500,4,113.4000,5370
17600,4,113.4000,5370
17700,4,113.4000,5370
17800,5,113.4000,5370
17900,5,113.4000,5370
18000,5,113.4000,5370
18100,5,113.4000,5370
18200,5,113.4000,5370
18300,5,113.4000,5370
18400,5,113.4000,5370
18500,5,113.4000,5370
