episode,reward,max_x
1,23.1600,1308
2,23.1000,1305
3,38.1000,2055
4,90.9400,4697
5,50.6400,2682
6,93.9400,4697
7,45.1400,2407
8,19.8200,1141
9,19.8200,1141
10,93.9400,4697
11,91.9200,4696
12,45.1400,2407
13,91.9000,4695
14,91.9200,4696
15,91.9000,4695
16,94.9200,4696
17,38.1000,2055
18,94.9200,4696
19,94.9200,4696
20,94.9200,4696
21,19.8200,1141
22,22.2600,1263
23,21.8000,1240
24,94.9200,4696
25,21.4600,1223
26,94.9200,4696
27,38.1200,2056
28,94.9200,4696
29,91.9200,4696
30,19.8200,1141
31,14.7000,885
32,94.9200,4696
33,94.9200,4696
34,94.9200,4696
35,19.8200,1141
36,94.9200,4696
37,121.6400,5282
38,19.8200,1141
39,121.6400,5282
40,22.1200,1256
41,121.6400,5282
42,22.5600,1278
43,45.1600,2408
44,45.1600,2408
45,19.8200,1141
46,121.6400,5282
47,121.6400,5282
48,121.6400,5282
49,121.6400,5282
50,22.6800,1284
51,121.6400,5282
52,91.9200,4696
53,121.6400,5282
54,19.8200,1141
55,121.6400,5282
56,121.6400,5282
57,121.6400,5282
58,121.6400,5282
59,121.6400,5282
60,121.6400,5282
61,91.8800,4694
62,121.6400,5282
63,121.6400,5282
64,121.6400,5282
65,121.6400,5282
66,121.6400,5282
67,121.6400,5282
68,121.6400,5282
69,121.6400,5282
70,19.8200,1141
71,121.6400,5282
72,121.6400,5282
73,121.6400,5282
74,121.6400,5282
75,121.6400,5282
76,121.6400,5282
77,121.6400,5282
78,121.6400,5282
79,121.6400,5282
80,121.6400,5282
81,121.6400,5282
