episode,reward,max_x
1,20.2800,1164.0000
2,18.4800,1074.0000
3,56.0600,2903.0000
4,18.5800,1079.0000
5,18.6400,1082.0000
6,18.1400,1057.0000
7,18.2600,1063.0000
8,18.6000,1080.0000
9,42.9800,2299.0000
10,19.0400,1102.0000
11,18.1000,1055.0000
12,18.3200,1066.0000
13,20.8600,1193.0000
14,43.4800,2324.0000
15,49.7400,2637.0000
16,18.5600,1078.0000
17,18.6400,1082.0000
18,59.8400,3092.0000
19,43.8600,2343.0000
20,18.1000,1055.0000
21,36.4000,1970.0000
22,14.1600,858.0000
23,36.7600,1988.0000
24,18.9200,1096.0000
25,18.0800,1054.0000
26,48.9000,2595.0000
27,18.4200,1071.0000
28,19.0400,1102.0000
29,13.5400,827.0000
30,49.7800,2639.0000
31,18.5800,1079.0000
32,58.2600,3063.0000
33,43.2400,2312.0000
34,18.5400,1077.0000
35,18.3000,1065.0000
36,49.0400,2602.0000
37,13.8200,841.0000
38,19.7400,1137.0000
39,36.2800,1964.0000
40,18.9200,1096.0000
41,18.3400,1067.0000
42,18.2400,1062.0000
43,18.1800,1059.0000
44,18.5400,1077.0000
45,43.8000,2340.0000
46,50.7600,2688.0000
47,19.3200,1116.0000
48,56.9200,2946.0000
49,21.2200,1211.0000
50,20.5400,1177.0000
51,14.6000,880.0000
52,18.1000,1055.0000
53,59.8600,3093.0000
54,36.8000,1990.0000
55,18.6800,1084.0000
56,18.4800,1074.0000
57,44.7400,2387.0000
58,36.4200,1971.0000
59,20.0200,1151.0000
60,18.5000,1075.0000
61,36.1800,1959.0000
62,18.5200,1076.0000
63,43.8400,2342.0000
64,59.8200,3091.0000
65,60.2200,3111.0000
66,18.5200,1076.0000
67,18.3000,1065.0000
68,20.8200,1191.0000
69,18.0800,1054.0000
70,52.4600,2773.0000
71,18.2000,1060.0000
72,19.1600,1108.0000
73,19.0200,1101.0000
74,18.5400,1077.0000
75,58.3600,3068.0000
76,50.8600,2693.0000
77,36.6800,1984.0000
78,13.9200,846.0000
79,19.0800,1104.0000
80,18.5200,1076.0000
81,18.8400,1092.0000
82,48.1800,2559.0000
83,37.4600,2023.0000
84,19.4600,1123.0000
85,36.9400,1997.0000
86,22.4800,1274.0000
87,18.5000,1075.0000
