step,phase,reward,done,timestamp
1125,episode,24,1,2026-04-02T16:05:30.231185
2250,episode,27,1,2026-04-02T16:05:35.347672
3375,episode,6,1,2026-04-02T16:05:40.397194
4500,episode,6,1,2026-04-02T16:05:46.468758
5625,episode,24,1,2026-04-02T16:05:51.707262
6750,episode,23,1,2026-04-02T16:05:56.804857
7875,episode,15,1,2026-04-02T16:06:01.906401
9000,episode,26,1,2026-04-02T16:06:07.051346
10125,episode,6,1,2026-04-02T16:06:12.157439
11250,episode,6,1,2026-04-02T16:06:17.303836
12375,episode,278,1,2026-04-02T16:06:22.404173
13500,episode,6,1,2026-04-02T16:06:27.503140
14625,episode,24,1,2026-04-02T16:06:32.609075
15750,episode,6,1,2026-04-02T16:06:37.799214
16875,episode,6,1,2026-04-02T16:06:42.989491
18000,episode,6,1,2026-04-02T16:06:48.111649
19125,episode,26,1,2026-04-02T16:06:53.304723
20250,episode,164,1,2026-04-02T16:06:59.571007
20559,episode,505,1,2026-04-02T16:07:02.180375
21375,episode,0,1,2026-04-02T16:07:08.894929
21682,episode,503,1,2026-04-02T16:07:11.481537
22248,episode,2,1,2026-04-02T16:07:16.162337
22500,episode,0,1,2026-04-02T16:07:18.170918
22807,episode,777,1,2026-04-02T16:07:20.661228
23546,episode,0,1,2026-04-02T16:07:26.679383
23625,episode,0,1,2026-04-02T16:07:27.304202
23932,episode,503,1,2026-04-02T16:07:29.895733
24533,episode,2,1,2026-04-02T16:07:34.773061
24738,episode,123,1,2026-04-02T16:07:36.447553
24750,episode,0,1,2026-04-02T16:07:36.536361
24890,episode,702,1,2026-04-02T16:07:37.720764
25272,episode,0,1,2026-04-02T16:07:40.952418
25683,episode,0,1,2026-04-02T16:07:44.367786
25875,episode,0,1,2026-04-02T16:07:45.984314
26182,episode,503,1,2026-04-02T16:07:48.600931
26700,episode,2,1,2026-04-02T16:07:52.913496
27000,episode,0,1,2026-04-02T16:07:55.346528
27307,episode,505,1,2026-04-02T16:07:58.413797
28044,episode,0,1,2026-04-02T16:08:04.906632
28125,episode,0,1,2026-04-02T16:08:05.586667
28432,episode,505,1,2026-04-02T16:08:08.313724
29250,episode,0,1,2026-04-02T16:08:15.842800
29557,episode,503,1,2026-04-02T16:08:18.593871
30375,episode,0,1,2026-04-02T16:08:25.733874
30682,episode,503,1,2026-04-02T16:08:28.436805
31484,episode,2,1,2026-04-02T16:08:35.324185
31500,episode,0,1,2026-04-02T16:08:35.458321
31807,episode,503,1,2026-04-02T16:08:38.054033
32300,episode,95,1,2026-04-02T16:08:42.161043
32625,episode,0,1,2026-04-02T16:08:44.893384
32932,episode,505,1,2026-04-02T16:08:47.619312
33258,episode,214,1,2026-04-02T16:08:50.472595
33708,episode,0,1,2026-04-02T16:08:54.278612
33750,episode,0,1,2026-04-02T16:08:54.627065
34057,episode,503,1,2026-04-02T16:08:57.289938
34710,episode,1,1,2026-04-02T16:09:02.905416
34875,episode,0,1,2026-04-02T16:09:04.309565
35182,episode,777,1,2026-04-02T16:09:06.891196
35797,episode,0,1,2026-04-02T16:09:11.870002
36000,episode,0,1,2026-04-02T16:09:13.465635
36307,episode,505,1,2026-04-02T16:09:15.976977
36787,episode,0,1,2026-04-02T16:09:20.281036
37125,episode,0,1,2026-04-02T16:09:23.125849
37432,episode,505,1,2026-04-02T16:09:25.825564
38172,episode,0,1,2026-04-02T16:09:31.919559
38250,episode,0,1,2026-04-02T16:09:32.520382
38557,episode,505,1,2026-04-02T16:09:35.037004
38939,episode,0,1,2026-04-02T16:09:38.118438
39163,episode,199,1,2026-04-02T16:09:39.883876
